location_name,latitude,longitude,province,city,barangay,farm_name,farm_type,outbreak_date,reported_date,status,total_pigs_affected,total_pigs_mortality,total_pigs_depopulated,severity_level
"Biñan Area 41",14.3513,121.0493,CALABARZON,Biñan,Villa,,backyard,2025-09-23,"2025-09-23 10:00:00",confirmed,111,32,81,critical
"Tanauan Area 42",14.0093,121.056,CALABARZON,Tanauan,,"Farm 42 - Tanauan",commercial,2025-09-23,"2025-09-24 01:00:00",suspected,14,4,0,
"Tayabas Area 43",13.9987,121.6763,CALABARZON,Tayabas,Masagana,"Farm 43 - Tayabas",backyard,2025-09-24,"2025-09-24 10:00:00",suspected,143,84,121,critical
"Gumaca Area 44",13.8497,122.134,CALABARZON,Gumaca,Maligaya,,commercial,2025-09-24,"2025-09-25 00:00:00",resolved,266,69,53,
"Batangas City Area 45",13.7565,120.9633,CALABARZON,"Batangas City","Barangay 3","Farm 45 - Batangas City",backyard,2025-09-25,"2025-09-26 00:00:00",resolved,38,21,33,medium
"Calamba Area 46",14.2211,121.1523,CALABARZON,Calamba,Masagana,,wild_boar,2025-09-26,"2025-09-26 02:00:00",suspected,456,6,277,low
"Santa Rosa Area 47",14.2407,121.0797,CALABARZON,"Santa Rosa","San Jose","Farm 47 - Santa Rosa",backyard,2025-09-26,"2025-09-27 03:00:00",contained,104,47,41,high
"Tanauan Area 48",14.1383,121.193,CALABARZON,Tanauan,,"Farm 48 - Tanauan",wild_boar,2025-09-29,"2025-10-01 10:00:00",contained,91,3,12,critical
"Gumaca Area 49",13.9817,122.059,CALABARZON,Gumaca,Sampaguita,,backyard,2025-09-29,"2025-09-29 14:00:00",suspected,230,99,181,
"Gumaca Area 50",13.9847,122.133,CALABARZON,Gumaca,"Barangay 1","Farm 50 - Gumaca",semi-commercial,2025-09-29,"2025-09-29 17:00:00",resolved,435,293,4,
"Gumaca Area 51",13.9077,122.037,CALABARZON,Gumaca,"Barangay 1",,backyard,2025-09-30,"2025-10-01 19:00:00",resolved,154,103,46,medium
"Cainta Area 52",14.6181,121.1352,CALABARZON,Cainta,,"Farm 52 - Cainta",wild_boar,2025-09-30,"2025-10-01 19:00:00",suspected,181,19,125,
"Lucena Area 53",13.9933,121.5567,CALABARZON,Lucena,"San Isidro","Farm 53 - Lucena",backyard,2025-10-01,"2025-10-01 13:00:00",resolved,358,49,172,high
"Gumaca Area 54",13.9857,122.182,CALABARZON,Gumaca,Mabuhay,,wild_boar,2025-10-03,"2025-10-03 14:00:00",confirmed,264,88,7,medium
"Cainta Area 55",14.6591,121.1532,CALABARZON,Cainta,Masagana,"Farm 55 - Cainta",wild_boar,2025-10-03,"2025-10-04 09:00:00",suspected,463,13,180,high
"Bacoor Area 56",14.4941,120.9498,CALABARZON,Bacoor,,,wild_boar,2025-10-03,"2025-10-05 15:00:00",suspected,254,127,128,low
"San Pedro Area 57",14.4257,120.991,CALABARZON,"San Pedro","Barangay 2",,wild_boar,2025-10-05,"2025-10-07 00:00:00",contained,128,10,3,
"Los Baños Area 58",14.1387,121.1733,CALABARZON,"Los Baños",,"Farm 58 - Los Baños",commercial,2025-10-05,"2025-10-07 05:00:00",resolved,483,88,265,low
"Santa Rosa Area 59",14.3207,121.1397,CALABARZON,"Santa Rosa",,,backyard,2025-10-06,"2025-10-06 13:00:00",contained,404,157,326,high
"Cavite City Area 60",14.4013,120.942,CALABARZON,"Cavite City",,,wild_boar,2025-10-06,"2025-10-07 22:00:00",suspected,136,37,119,
"San Pedro Area 61",14.4317,120.973,CALABARZON,"San Pedro",,,backyard,2025-10-06,"2025-10-06 20:00:00",suspected,61,33,35,
"Cavite City Area 62",14.4953,120.94,CALABARZON,"Cavite City",,,semi-commercial,2025-10-07,"2025-10-07 14:00:00",resolved,29,18,27,critical
"Los Baños Area 63",14.1747,121.2313,CALABARZON,"Los Baños",Sampaguita,"Farm 63 - Los Baños",backyard,2025-10-07,"2025-10-07 19:00:00",contained,184,46,161,
"San Pedro Area 64",14.4587,120.992,CALABARZON,"San Pedro","Bagong Silang","Farm 64 - San Pedro",semi-commercial,2025-10-07,"2025-10-08 13:00:00",suspected,137,89,89,low
"Calamba Area 65",14.1141,121.2093,CALABARZON,Calamba,"San Antonio",,semi-commercial,2025-10-08,"2025-10-10 23:00:00",suspected,462,311,335,
"Tayabas Area 66",14.1057,121.5013,CALABARZON,Tayabas,"Barangay 1","Farm 66 - Tayabas",commercial,2025-10-08,"2025-10-08 18:00:00",contained,478,268,332,critical
"Bacoor Area 67",14.4161,121.0358,CALABARZON,Bacoor,,"Farm 67 - Bacoor",wild_boar,2025-10-08,"2025-10-09 10:00:00",resolved,86,52,25,
"Biñan Area 68",14.3753,121.1303,CALABARZON,Biñan,,"Farm 68 - Biñan",wild_boar,2025-10-09,"2025-10-11 23:00:00",confirmed,280,98,82,critical
"San Pedro Area 69",14.3517,121.065,CALABARZON,"San Pedro","San Antonio","Farm 69 - San Pedro",commercial,2025-10-09,"2025-10-11 09:00:00",resolved,456,164,90,high
"Tayabas Area 70",14.0907,121.5403,CALABARZON,Tayabas,"San Isidro",,semi-commercial,2025-10-09,"2025-10-09 20:00:00",resolved,138,79,20,high
"Gumaca Area 71",13.9087,122.069,CALABARZON,Gumaca,"San Miguel","Farm 71 - Gumaca",wild_boar,2025-10-10,"2025-10-12 20:00:00",suspected,29,20,17,low
"Tagaytay Area 72",14.103,120.9513,CALABARZON,Tagaytay,"San Miguel","Farm 72 - Tagaytay",semi-commercial,2025-10-10,"2025-10-12 23:00:00",suspected,256,196,55,critical
"Antipolo Area 73",14.6242,121.1173,CALABARZON,Antipolo,,"Farm 73 - Antipolo",backyard,2025-10-10,"2025-10-12 09:00:00",suspected,169,91,48,high
"Los Baños Area 74",14.1347,121.1403,CALABARZON,"Los Baños","Barangay 2",,semi-commercial,2025-10-11,"2025-10-13 22:00:00",confirmed,380,242,183,low
"Batangas City Area 75",13.7195,120.9613,CALABARZON,"Batangas City",,"Farm 75 - Batangas City",backyard,2025-10-12,"2025-10-12 02:00:00",confirmed,252,17,108,
"Batangas City Area 76",13.7235,121.0823,CALABARZON,"Batangas City",,"Farm 76 - Batangas City",wild_boar,2025-10-13,"2025-10-15 15:00:00",resolved,271,140,105,medium
"Tagaytay Area 77",14.03,120.9123,CALABARZON,Tagaytay,"San Roque",,backyard,2025-10-13,"2025-10-13 10:00:00",confirmed,139,73,77,critical
"Taytay Area 78",14.5077,121.1153,CALABARZON,Taytay,,,backyard,2025-10-14,"2025-10-14 14:00:00",resolved,373,155,204,critical
"Angono Area 79",14.4316,121.2534,CALABARZON,Angono,"San Roque",,semi-commercial,2025-10-14,"2025-10-15 20:00:00",confirmed,175,51,62,critical
"Lucena Area 80",13.8663,121.6637,CALABARZON,Lucena,Mabuhay,"Farm 80 - Lucena",commercial,2025-10-14,"2025-10-14 23:00:00",confirmed,376,168,298,
"Cavite City Area 81",14.5043,120.824,CALABARZON,"Cavite City","San Jose",,backyard,2025-10-15,"2025-10-17 10:00:00",contained,146,71,133,
"Cavite City Area 82",14.4233,120.886,CALABARZON,"Cavite City","Sta. Maria","Farm 82 - Cavite City",wild_boar,2025-10-15,"2025-10-17 12:00:00",confirmed,41,4,23,medium
"Cainta Area 83",14.6571,121.0302,CALABARZON,Cainta,Poblacion,"Farm 83 - Cainta",commercial,2025-10-15,"2025-10-17 00:00:00",contained,67,25,58,low
"Tanauan Area 84",14.1503,121.202,CALABARZON,Tanauan,"Barangay 3",,backyard,2025-10-16,"2025-10-16 12:00:00",contained,5,4,4,
"Cavite City Area 85",14.5073,120.989,CALABARZON,"Cavite City","Bagong Silang","Farm 85 - Cavite City",wild_boar,2025-10-16,"2025-10-16 19:00:00",contained,488,111,89,medium
"Calamba Area 86",14.1201,121.1613,CALABARZON,Calamba,Sampaguita,"Farm 86 - Calamba",commercial,2025-10-17,"2025-10-19 15:00:00",contained,499,112,398,medium
"Los Baños Area 87",14.2007,121.2083,CALABARZON,"Los Baños",Sampaguita,,semi-commercial,2025-10-18,"2025-10-20 13:00:00",confirmed,328,167,315,high
"San Pedro Area 88",14.3887,121.021,CALABARZON,"San Pedro",,"Farm 88 - San Pedro",wild_boar,2025-10-19,"2025-10-19 09:00:00",suspected,152,54,19,high
"Gumaca Area 89",13.8587,122.124,CALABARZON,Gumaca,,,backyard,2025-10-20,"2025-10-21 10:00:00",contained,110,78,46,
"Imus Area 90",14.4347,120.8817,CALABARZON,Imus,,"Farm 90 - Imus",semi-commercial,2025-10-20,"2025-10-21 17:00:00",confirmed,147,53,86,
"Gumaca Area 91",13.9367,122.154,CALABARZON,Gumaca,,,wild_boar,2025-10-20,"2025-10-22 12:00:00",contained,53,6,53,medium
"Gumaca Area 92",13.8677,122.1,CALABARZON,Gumaca,Pangarap,"Farm 92 - Gumaca",backyard,2025-10-21,"2025-10-22 20:00:00",confirmed,53,39,8,low
"Tagaytay Area 93",14.165,120.8593,CALABARZON,Tagaytay,"Barangay 3","Farm 93 - Tagaytay",commercial,2025-10-21,"2025-10-22 07:00:00",resolved,61,29,55,medium
"Calamba Area 94",14.1811,121.2533,CALABARZON,Calamba,Maligaya,,commercial,2025-10-22,"2025-10-23 22:00:00",resolved,244,14,137,high
"Tagaytay Area 95",14.069,120.9743,CALABARZON,Tagaytay,"San Isidro",,backyard,2025-10-22,"2025-10-22 16:00:00",suspected,203,137,201,medium
"Tayabas Area 96",14.0887,121.5653,CALABARZON,Tayabas,"Sta. Cruz","Farm 96 - Tayabas",semi-commercial,2025-10-23,"2025-10-24 11:00:00",contained,279,165,127,medium
"Los Baños Area 97",14.2037,121.2473,CALABARZON,"Los Baños","San Isidro","Farm 97 - Los Baños",semi-commercial,2025-10-23,"2025-10-24 03:00:00",contained,151,18,62,
"Bacoor Area 98",14.4671,120.9688,CALABARZON,Bacoor,,"Farm 98 - Bacoor",wild_boar,2025-10-24,"2025-10-24 11:00:00",contained,268,35,116,high
"Santa Rosa Area 99",14.2677,121.1867,CALABARZON,"Santa Rosa","San Roque",,backyard,2025-10-24,"2025-10-25 08:00:00",resolved,166,100,96,high
"Antipolo Area 100",14.5432,121.2253,CALABARZON,Antipolo,"Barangay 2","Farm 100 - Antipolo",backyard,2025-10-24,"2025-10-26 02:00:00",suspected,171,2,110,high
"Tagaytay Area 101",14.107,120.8443,CALABARZON,Tagaytay,,"Farm 101 - Tagaytay",semi-commercial,2025-10-25,"2025-10-26 06:00:00",suspected,364,159,321,critical
"Angono Area 102",14.5746,121.1894,CALABARZON,Angono,,"Farm 102 - Angono",commercial,2025-10-25,"2025-10-26 14:00:00",confirmed,443,177,192,low
"San Pedro Area 103",14.2837,121.055,CALABARZON,"San Pedro","San Roque","Farm 103 - San Pedro",semi-commercial,2025-10-26,"2025-10-26 06:00:00",suspected,135,57,50,medium
"Lipa Area 104",13.8787,121.1703,CALABARZON,Lipa,Bagumbayan,"Farm 104 - Lipa",semi-commercial,2025-10-26,"2025-10-27 15:00:00",confirmed,299,58,46,
"Biñan Area 105",14.3283,121.1753,CALABARZON,Biñan,,"Farm 105 - Biñan",wild_boar,2025-10-27,"2025-10-28 13:00:00",resolved,27,5,19,critical
"Tanauan Area 106",14.0013,121.166,CALABARZON,Tanauan,"Barangay 1",,commercial,2025-10-27,"2025-10-28 08:00:00",contained,88,22,69,low
"Angono Area 107",14.5586,121.0824,CALABARZON,Angono,"San Roque","Farm 107 - Angono",wild_boar,2025-10-27,"2025-10-29 03:00:00",confirmed,328,112,259,medium
"Lucena Area 108",13.9153,121.6827,CALABARZON,Lucena,"San Isidro","Farm 108 - Lucena",commercial,2025-10-28,"2025-10-28 20:00:00",resolved,106,50,65,low
"Tayabas Area 109",14.0517,121.6783,CALABARZON,Tayabas,Maligaya,,wild_boar,2025-10-29,"2025-10-29 08:00:00",confirmed,211,162,136,medium
"San Pedro Area 110",14.3317,120.954,CALABARZON,"San Pedro",Mabuhay,"Farm 110 - San Pedro",backyard,2025-10-29,"2025-10-30 00:00:00",suspected,44,22,44,critical
"Santa Rosa Area 111",14.2347,121.1047,CALABARZON,"Santa Rosa",Villa,,semi-commercial,2025-10-30,"2025-10-31 18:00:00",contained,307,11,295,medium
"Bacoor Area 112",14.4791,120.9828,CALABARZON,Bacoor,Poblacion,"Farm 112 - Bacoor",wild_boar,2025-10-31,"2025-11-02 13:00:00",contained,20,13,4,low
"Tanauan Area 113",14.1373,121.231,CALABARZON,Tanauan,"Sta. Cruz",,backyard,2025-10-31,"2025-10-31 03:00:00",resolved,466,356,202,
"Antipolo Area 114",14.6702,121.1583,CALABARZON,Antipolo,,"Farm 114 - Antipolo",commercial,2025-11-01,"2025-11-02 21:00:00",resolved,23,1,23,high
"Tayabas Area 115",13.9467,121.4913,CALABARZON,Tayabas,Bagumbayan,"Farm 115 - Tayabas",wild_boar,2025-11-01,"2025-11-02 21:00:00",resolved,78,23,20,
"Calamba Area 116",14.1531,121.0753,CALABARZON,Calamba,Bagumbayan,,wild_boar,2025-11-02,"2025-11-03 03:00:00",suspected,482,135,111,medium
"Tanauan Area 117",14.1533,121.077,CALABARZON,Tanauan,,,wild_boar,2025-11-06,"2025-11-06 21:00:00",suspected,477,283,416,high
"Bacoor Area 118",14.5411,120.8568,CALABARZON,Bacoor,"Sta. Cruz",,semi-commercial,2025-11-06,"2025-11-08 15:00:00",contained,203,120,11,low
"Cainta Area 119",14.5421,121.2212,CALABARZON,Cainta,"Barangay 3","Farm 119 - Cainta",commercial,2025-11-06,"2025-11-06 13:00:00",resolved,73,21,60,
"Lucena Area 120",14.0213,121.5587,CALABARZON,Lucena,,"Farm 120 - Lucena",wild_boar,2025-11-07,"2025-11-08 06:00:00",confirmed,423,223,417,high
"Taytay Area 121",14.5317,121.1753,CALABARZON,Taytay,Poblacion,"Farm 121 - Taytay",commercial,2025-11-07,"2025-11-08 10:00:00",resolved,372,58,228,high
"Calamba Area 122",14.2911,121.1383,CALABARZON,Calamba,Maligaya,,backyard,2025-11-08,"2025-11-08 03:00:00",suspected,33,26,2,high
"Calamba Area 123",14.1371,121.1583,CALABARZON,Calamba,,"Farm 123 - Calamba",semi-commercial,2025-11-09,"2025-11-10 08:00:00",contained,471,76,344,low
"Angono Area 124",14.5726,121.0804,CALABARZON,Angono,,,wild_boar,2025-11-09,"2025-11-11 17:00:00",contained,381,176,379,
"Cavite City Area 125",14.4093,120.967,CALABARZON,"Cavite City",Pangarap,,backyard,2025-11-09,"2025-11-09 11:00:00",suspected,162,8,150,low
"Antipolo Area 126",14.5232,121.1853,CALABARZON,Antipolo,,,wild_boar,2025-11-10,"2025-11-11 13:00:00",confirmed,284,141,55,
"Tagaytay Area 127",14.002,120.9853,CALABARZON,Tagaytay,,,wild_boar,2025-11-11,"2025-11-11 11:00:00",suspected,118,12,106,
"Gumaca Area 128",13.9827,122.028,CALABARZON,Gumaca,Villa,,backyard,2025-11-11,"2025-11-12 18:00:00",confirmed,496,29,330,low
"Bacoor Area 129",14.4851,120.8608,CALABARZON,Bacoor,"Barangay 2","Farm 129 - Bacoor",backyard,2025-11-11,"2025-11-12 05:00:00",confirmed,26,18,1,medium
"Los Baños Area 130",14.1957,121.2193,CALABARZON,"Los Baños",,,wild_boar,2025-11-12,"2025-11-13 02:00:00",suspected,464,278,318,medium
"Tanauan Area 131",14.1183,121.097,CALABARZON,Tanauan,Maligaya,,backyard,2025-11-12,"2025-11-13 04:00:00",resolved,220,51,153,critical
"Gumaca Area 132",13.9707,122.129,CALABARZON,Gumaca,"Barangay 3","Farm 132 - Gumaca",commercial,2025-11-12,"2025-11-14 02:00:00",confirmed,218,51,9,
"Lipa Area 133",13.8827,121.1133,CALABARZON,Lipa,,"Farm 133 - Lipa",semi-commercial,2025-11-13,"2025-11-16 00:00:00",suspected,204,86,33,medium
"Tagaytay Area 134",14.074,120.9113,CALABARZON,Tagaytay,"Sta. Ana","Farm 134 - Tagaytay",semi-commercial,2025-11-13,"2025-11-15 12:00:00",suspected,402,125,191,
"Lipa Area 135",14.0407,121.1463,CALABARZON,Lipa,Bagumbayan,"Farm 135 - Lipa",wild_boar,2025-11-14,"2025-11-15 03:00:00",suspected,211,148,105,
"Antipolo Area 136",14.6022,121.2203,CALABARZON,Antipolo,"Sta. Ana","Farm 136 - Antipolo",commercial,2025-11-14,"2025-11-14 22:00:00",contained,231,144,4,high
"Tayabas Area 137",14.1007,121.5163,CALABARZON,Tayabas,,"Farm 137 - Tayabas",backyard,2025-11-14,"2025-11-16 12:00:00",suspected,167,117,138,medium
"Tanauan Area 138",14.0293,121.244,CALABARZON,Tanauan,,,commercial,2025-11-15,"2025-11-16 01:00:00",contained,400,249,318,low
"Imus Area 139",14.4217,120.9497,CALABARZON,Imus,"Barangay 3","Farm 139 - Imus",semi-commercial,2025-11-16,"2025-11-18 02:00:00",contained,346,5,29,low
"Calamba Area 140",14.2861,121.2603,CALABARZON,Calamba,"Barangay 1","Farm 140 - Calamba",backyard,2025-11-16,"2025-11-17 18:00:00",confirmed,211,39,7,medium
"San Pedro Area 141",14.4647,121.128,CALABARZON,"San Pedro","San Roque","Farm 141 - San Pedro",semi-commercial,2025-11-17,"2025-11-18 14:00:00",contained,137,14,107,low
"Angono Area 142",14.5496,121.2064,CALABARZON,Angono,Poblacion,,semi-commercial,2025-11-18,"2025-11-19 15:00:00",contained,73,18,50,medium
"Batangas City Area 143",13.7515,121.0533,CALABARZON,"Batangas City",,"Farm 143 - Batangas City",backyard,2025-11-18,"2025-11-19 04:00:00",suspected,321,92,11,high
"San Pedro Area 144",14.3597,121.126,CALABARZON,"San Pedro","San Isidro",,wild_boar,2025-11-19,"2025-11-21 01:00:00",suspected,381,229,357,critical
"Biñan Area 145",14.3953,121.1393,CALABARZON,Biñan,,,semi-commercial,2025-11-19,"2025-11-19 00:00:00",confirmed,324,153,178,low
"Calamba Area 146",14.1541,121.0833,CALABARZON,Calamba,Masagana,"Farm 146 - Calamba",wild_boar,2025-11-22,"2025-11-24 13:00:00",suspected,209,77,167,high
"Bacoor Area 147",14.3881,120.8768,CALABARZON,Bacoor,"San Miguel","Farm 147 - Bacoor",wild_boar,2025-11-22,"2025-11-22 00:00:00",resolved,166,109,153,low
"Biñan Area 148",14.4303,121.0173,CALABARZON,Biñan,Poblacion,"Farm 148 - Biñan",commercial,2025-11-24,"2025-11-24 00:00:00",suspected,417,225,364,
"Imus Area 149",14.3647,120.9967,CALABARZON,Imus,"Sta. Cruz","Farm 149 - Imus",wild_boar,2025-11-24,"2025-11-24 19:00:00",suspected,472,115,393,high
"Dasmarinas Area 150",14.3364,120.9667,CALABARZON,Dasmarinas,"San Isidro",,wild_boar,2025-11-25,"2025-11-25 00:00:00",contained,317,89,16,
"Dasmarinas Area 151",14.2904,120.9037,CALABARZON,Dasmarinas,"San Miguel","Farm 151 - Dasmarinas",wild_boar,2025-11-25,"2025-11-25 15:00:00",resolved,175,95,139,low
"Tanauan Area 152",14.0333,121.146,CALABARZON,Tanauan,"Barangay 3","Farm 152 - Tanauan",backyard,2025-11-25,"2025-11-25 00:00:00",suspected,296,209,136,critical
"Antipolo Area 153",14.5612,121.1333,CALABARZON,Antipolo,,"Farm 153 - Antipolo",backyard,2025-11-26,"2025-11-26 08:00:00",suspected,66,31,17,high
"Dasmarinas Area 154",14.4054,120.8757,CALABARZON,Dasmarinas,,,semi-commercial,2025-11-26,"2025-11-28 01:00:00",resolved,464,1,305,
"Tagaytay Area 155",14.105,120.8693,CALABARZON,Tagaytay,"San Miguel",,semi-commercial,2025-11-26,"2025-11-27 14:00:00",resolved,178,45,173,
"Antipolo Area 156",14.5352,121.1143,CALABARZON,Antipolo,Masagana,,semi-commercial,2025-11-27,"2025-11-28 01:00:00",contained,465,13,430,
"Lucena Area 157",13.9903,121.5607,CALABARZON,Lucena,,"Farm 157 - Lucena",wild_boar,2025-11-27,"2025-11-28 15:00:00",contained,105,32,34,critical
"Calamba Area 158",14.2941,121.2333,CALABARZON,Calamba,"Barangay 1","Farm 158 - Calamba",wild_boar,2025-11-30,"2025-12-02 15:00:00",confirmed,356,213,303,critical
"Angono Area 159",14.5566,121.1984,CALABARZON,Angono,Mabuhay,,semi-commercial,2025-11-30,"2025-12-01 12:00:00",resolved,226,29,198,medium
"Batangas City Area 160",13.7005,121.1133,CALABARZON,"Batangas City",Villa,"Farm 160 - Batangas City",wild_boar,2025-11-30,"2025-11-30 08:00:00",confirmed,54,1,5,medium
"Calamba Area 161",14.2311,121.0813,CALABARZON,Calamba,"San Miguel","Farm 161 - Calamba",semi-commercial,2025-12-03,"2025-12-05 18:00:00",suspected,425,143,37,
"Batangas City Area 162",13.8225,121.0903,CALABARZON,"Batangas City",Poblacion,,semi-commercial,2025-12-04,"2025-12-04 00:00:00",suspected,196,139,63,
